-1536, 5120, -1280
-1792, 6912, 1280
-1792, 4864, -1280
2560, 5888, 256
2560, 4352, 2048
1792, 5376, 256
-1792, 5632, 1024
768, 6144, -1024
2304, 7936, 512
3072, 9728, -256
2048, 9728, 1792
-1280, 12032, 256
-1536, 11776, 512
0, 11520, 512
3840, 11264, -512
2304, 11264, 256
-1280, 10496, -768
-2304, 9216, -1792
-1536, 8704, -1024
3072, 7424, -1280
2560, 6400, 1024
2304, 5376, 1024
0, 5376, -1280
256, 7680, -512
768, 8704, -1280
-1280, 7936, 3072
-2560, 7424, 0
-1280, 6912, -256
-2816, 6144, -512
-2304, 7424, -1024
-2816, 4608, -2048
-512, 7424, -768
1536, 3328, -512
-512, 7168, -2304
0, 4096, -512
0, 6400, -512
1280, 3840, 1024
2816, 6144, 0
2816, 7424, 256
0, 8448, -768
-1792, 10752, 512
1792, 9984, 768
3840, 11520, -512
2816, 11776, 0
-768, 12032, -1280
-2816, 12800, 0
512, 10496, 0
3840, 8960, -512
4608, 9472, 512
-2816, 6400, -256
-256, 6144, -1536
2816, 6656, -1536
5120, 5376, 1280
512, 6144, 0
256, 7168, 0
-768, 7424, 768
256, 7680, -1024
-2304, 7680, -512
-3072, 6656, 2560
-1024, 5888, 2048
-1024, 6656, -1536
256, 5888, 1280
-1792, 6400, -768
-1024, 5888, 768
-256, 4608, 1792
3584, 4864, 256
2048, 4096, 0
-1280, 5632, 256
-1536, 5120, 512
1280, 7936, -256
2816, 9984, -1024
0, 11520, 768
-2048, 10752, 512
1536, 11264, 256
3072, 11264, -1280
1024, 11776, -256
-2304, 10752, 768
-2560, 9984, -1536
1280, 9472, -1792
4864, 8448, -768
2304, 7936, -2560
-768, 6144, -1280
-1280, 6144, -1280
3072, 5120, -2304
2816, 6912, -3840
768, 7936, 0
-1536, 7680, 2048
-1280, 7680, 768
512, 6400, 512
-512, 7168, 1280
-3584, 6144, -768
-5888, 7168, 1536
-512, 6144, 256
1536, 5376, -512
-1536, 5120, 1280
-1792, 4864, 256
1792, 3840, 256
4352, 5632, 1024
2560, 5120, 256
-1792, 9472, 1536
-512, 7936, 1024
2304, 11008, 512
2560, 11008, -1024
2048, 12032, 1536
-1536, 11264, -512
-256, 12544, 0
1024, 10496, 512
3072, 11008, -2048
768, 9472, -1536
-768, 9472, 0
512, 7424, -1024
1536, 6912, -2048
2816, 5376, -1024
512, 6912, -512
-768, 6144, -256
0, 6400, 1024
1280, 7680, 256
1024, 7680, 256
-2816, 8192, 0
-1536, 6656, 1536
-2304, 6656, -512
-768, 5888, -1792
-2048, 5888, 0
-2816, 6656, 512
-2304, 6656, -768
1280, 3840, 0
3328, 6656, 256
